"FID","TILE","NM_MACRORH","GEOMETRY","ORDEMFINAL"
"38","074094","AMAZÔNICA","POLYGON ((-69.357266 -9.45732, -69.357266 -9.104351, -68.822768 -9.104351, -68.822768 -9.45732, -69.357266 -9.45732))",13
"39","074095","AMAZÔNICA","POLYGON ((-69.413136 -10.434985, -69.413136 -10.082191, -68.876636 -10.082191, -68.876636 -10.434985, -69.413136 -10.434985))",79
"40","074096","AMAZÔNICA","POLYGON ((-69.469414 -11.412078, -69.469414 -11.05936, -68.930896 -11.05936, -68.930896 -11.412078, -69.469414 -11.412078))",80
"41","075082","AMAZÔNICA","POLYGON ((-67.231417 2.344319, -67.231417 2.704415, -66.721291 2.704415, -66.721291 2.344319, -67.231417 2.344319))",81
"42","075083","AMAZÔNICA","POLYGON ((-67.277561 1.338393, -67.277561 1.697103, -66.765609 1.697103, -66.765609 1.338393, -67.277561 1.338393))",82
"43","075084","AMAZÔNICA","POLYGON ((-67.324027 0.336375, -67.324027 0.693808, -66.810237 0.693808, -66.810237 0.336375, -67.324027 0.336375))",83
"44","075085","AMAZÔNICA","POLYGON ((-67.370819 -0.662038, -67.370819 -0.305775, -66.855177 -0.305775, -66.855177 -0.662038, -67.370819 -0.662038))",84
"45","075086","AMAZÔNICA","POLYGON ((-67.417941 -1.657139, -67.417941 -1.301942, -66.900434 -1.301942, -66.900434 -1.657139, -67.417941 -1.657139))",85
"46","075087","AMAZÔNICA","POLYGON ((-67.465396 -2.649218, -67.465396 -2.294983, -66.94601 -2.294983, -66.94601 -2.649218, -67.465396 -2.649218))",86
"47","075088","AMAZÔNICA","POLYGON ((-67.513187 -3.638559, -67.513187 -3.285186, -66.99191 -3.285186, -66.99191 -3.638559, -67.513187 -3.638559))",87
"48","075089","AMAZÔNICA","POLYGON ((-67.561319 -4.625442, -67.561319 -4.272831, -67.038135 -4.272831, -67.038135 -4.625442, -67.561319 -4.625442))",12
"49","075090","AMAZÔNICA","POLYGON ((-67.609795 -5.610144, -67.609795 -5.258196, -67.084691 -5.258196, -67.084691 -5.610144, -67.609795 -5.610144))",88
"50","075091","AMAZÔNICA","POLYGON ((-67.658618 -6.59294, -67.658618 -6.241556, -67.13158 -6.241556, -67.13158 -6.59294, -67.658618 -6.59294))",89
"51","075092","AMAZÔNICA","POLYGON ((-67.707792 -7.5741, -67.707792 -7.223184, -67.178806 -7.223184, -67.178806 -7.5741, -67.707792 -7.5741))",90
"52","075093","AMAZÔNICA","POLYGON ((-67.757321 -8.553898, -67.757321 -8.203351, -67.226372 -8.203351, -67.226372 -8.553898, -67.757321 -8.553898))",91
"53","075094","AMAZÔNICA","POLYGON ((-67.807209 -9.532604, -67.807209 -9.182329, -67.274283 -9.182329, -67.274283 -9.532604, -67.807209 -9.532604))",92
"54","075095","AMAZÔNICA","POLYGON ((-67.85746 -10.510488, -67.85746 -10.160389, -67.322542 -10.160389, -67.322542 -10.510488, -67.85746 -10.510488))",93
"55","075096","AMAZÔNICA","POLYGON ((-67.908078 -11.487824, -67.908078 -11.137801, -67.371153 -11.137801, -67.371153 -11.487824, -67.908078 -11.487824))",94
"56","076080","AMAZÔNICA","POLYGON ((-65.663919 4.302866, -65.663919 4.663299, -65.158872 4.663299, -65.158872 4.302866, -65.663919 4.302866))",95
"57","076083","AMAZÔNICA","POLYGON ((-65.785991 1.272294, -65.785991 1.628258, -65.275534 1.628258, -65.275534 1.272294, -65.785991 1.272294))",96
"58","076084","AMAZÔNICA","POLYGON ((-65.82725 0.270292, -65.82725 0.624987, -65.314965 0.624987, -65.314965 0.270292, -65.82725 0.270292))",97
"59","076085","AMAZÔNICA","POLYGON ((-65.8688 -0.728124, -65.8688 -0.374592, -65.354673 -0.374592, -65.354673 -0.728124, -65.8688 -0.728124))",98
"60","076086","AMAZÔNICA","POLYGON ((-65.910643 -1.723248, -65.910643 -1.370775, -65.39466 -1.370775, -65.39466 -1.723248, -65.910643 -1.723248))",99
"61","076087","AMAZÔNICA","POLYGON ((-65.952781 -2.715369, -65.952781 -2.363853, -65.43493 -2.363853, -65.43493 -2.715369, -65.952781 -2.715369))",100
"62","076088","AMAZÔNICA","POLYGON ((-65.995218 -3.704771, -65.995218 -3.354112, -65.475485 -3.354112, -65.475485 -3.704771, -65.995218 -3.704771))",101
"63","076089","AMAZÔNICA","POLYGON ((-66.037958 -4.691735, -66.037958 -4.341834, -65.516328 -4.341834, -65.516328 -4.691735, -66.037958 -4.691735))",102
"64","076090","AMAZÔNICA","POLYGON ((-66.081003 -5.676536, -66.081003 -5.327295, -65.557464 -5.327295, -65.557464 -5.676536, -66.081003 -5.676536))",103
"65","076091","AMAZÔNICA","POLYGON ((-66.124357 -6.65945, -66.124357 -6.310772, -65.598894 -6.310772, -65.598894 -6.65945, -66.124357 -6.65945))",104
"66","076092","AMAZÔNICA","POLYGON ((-66.168022 -7.640749, -66.168022 -7.292536, -65.640621 -7.292536, -65.640621 -7.640749, -66.168022 -7.640749))",11
"67","076093","AMAZÔNICA","POLYGON ((-66.212004 -8.620704, -66.212004 -8.272861, -65.682651 -8.272861, -65.682651 -8.620704, -66.212004 -8.620704))",105
"68","076094","AMAZÔNICA","POLYGON ((-66.256304 -9.599587, -66.256304 -9.252016, -65.724984 -9.252016, -65.724984 -9.599587, -66.256304 -9.599587))",106
"69","076095","AMAZÔNICA","POLYGON ((-66.300927 -10.577669, -66.300927 -10.230273, -65.767625 -10.230273, -65.767625 -10.577669, -66.300927 -10.577669))",107
"70","076096","AMAZÔNICA","POLYGON ((-66.345875 -11.555222, -66.345875 -11.207905, -65.810577 -11.207905, -65.810577 -11.555222, -66.345875 -11.555222))",108
